title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,event_date_utc,continent,country
"M 7.0 - Acapulco, Mexico",7,8,8,red,1,2504,us,0,0.07,43,mww,20,16.9502,-99.7877,2021-09-08,North America,Mexico
M 7.1 - South Sandwich Islands region,7.1,1,4,green,1,776,us,0,9.799,32,mww,6,-60.3026,-24.9992,2021-08-22,,Antarctica
M 6.6 - South Sandwich Islands region,6.6,1,3,green,1,670,us,0,8.865,19,mww,7,-60.1023,-24.4608,2021-08-22,,Antarctica
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,8,7,green,1,741,us,0,0.579,54,mww,93,-14.892,167.085,2021-08-18,Oceania,Vanuatu
M 6.9 - South Sandwich Islands region,6.9,6,4,green,1,734,us,0,8.363,48,mww,16.7,-58.3814,-23.3318,2021-08-16,,
"M 7.2 - Nippes, Haiti",7.2,9,8,red,1,2331,us,0,1.178,23,mww,10,18.3521,-73.4804,2021-08-14,North America,Haiti
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,5,4,green,1,738,ak,0,0,0,mww,33.3,55.2364,-157.707,2021-08-14,,
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,5,4,green,1,738,us,0,1.173,36,mww,20.74,55.2657,-157.68,2021-08-14,,
M 8.1 - South Sandwich Islands region,8.1,0,7,green,0,1009,us,0,7.463,78,mww,22.79,-58.4157,-25.3206,2021-08-12,,
M 7.5 - South Sandwich Islands region,7.5,9,6,green,1,868,us,0,7.227,38,mww,47.23,-57.5959,-25.1874,2021-08-12,,
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,9,7,green,1,846,us,0,1.273,25,mww,55.14,6.4547,126.742,2021-08-11,,
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,8,6,green,1,1237,us,0,0.875,66,mww,46.66,55.4742,-157.917,2021-07-29,,
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,8,7,yellow,1,1252,ak,0,0,0,mww,35,55.3154,-157.829,2021-07-29,,
"M 6.7 - 15 km S of Hukay, Philippines",6.7,8,5,green,1,935,us,0,8.139,12,mww,110,13.6989,120.713,2021-07-23,Asia,Philippines
"M 6.7 - 71 km S of Burica, Panama",6.7,6,6,green,1,830,us,0,1.395,61,mww,10,7.5904,-82.8813,2021-07-21,,
"M 6.5 - Kermadec Islands, New Zealand",6.5,0,4,green,1,650,us,0,7.994,24,mww,25,-30.2144,-177.773,2021-06-20,,
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,5,7,green,1,652,us,0,4.518,44,mww,10,-16.4796,-177.356,2021-05-21,,
"M 7.3 - Southern Qinghai, China",7.3,9,9,orange,0,1025,us,0,4.655,9,mww,10,34.5861,98.2551,2021-05-21,Asia,People's Republic of China
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,8,4,green,0,698,us,0,1.487,37,mww,11,0.1684,96.6475,2021-05-14,,
M 6.7 - Mauritius - Reunion region,6.7,9,3,green,0,694,us,0,10.669,45,mww,10,-17.2495,66.3745,2021-05-12,,
M 6.9 - ,6.9,7,6,green,1,919,us,0,2.619,35,mww,43,38.2296,141.665,2021-05-01,Asia,Japan
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,4,4,green,0,651,us,0,5.931,20,mww,246,-21.6857,-177.064,2021-04-25,,
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,6,4,green,0,652,us,0,10.405,19,mww,301,-18.9204,-176.235,2021-04-24,,
"M 7.0 - 30 km E of Ishinomaki, Japan",7,7,7,yellow,1,1052,us,0,2.378,35,mww,43,38.4752,141.607,2021-03-20,Asia,Japan
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,5,5,green,1,672,us,0,3.183,18,mww,13.23,54.7018,163.208,2021-03-16,,
M 6.5 - Kermadec Islands region,6.5,0,4,green,0,650,us,0,11.764,25,mwb,24,-28.4792,-176.619,2021-03-04,,
"M 8.1 - Kermadec Islands, New Zealand",8.1,9,8,green,1,1021,us,0,0.739,21,mww,28.93,-29.7466,-177.224,2021-03-04,,
"M 7.4 - Kermadec Islands, New Zealand",7.4,3,7,green,1,843,us,0,0.437,30,mww,43,-29.6131,-177.842,2021-03-04,,
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,7,6,green,1,932,us,0,0.918,24,mww,10,-37.596,179.544,2021-03-04,,
"M 7.1 - 73 km ENE of Namie, Japan",7.1,9,8,orange,1,1612,us,0,3.085,11,mww,43.98,37.6856,141.992,2021-02-13,,
M 7.7 - southeast of the Loyalty Islands,7.7,9,4,green,1,918,us,0,7.989,15,mww,10,-23.2787,171.489,2021-02-10,,
M 6.9 - South Shetland Islands,6.9,9,5,green,1,739,us,0,1.55,16,mww,15,-61.8484,-55.559,2021-01-23,,Antarctica
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7,7,5,green,1,802,us,0,2.821,15,mww,80,5.0074,127.517,2021-01-21,,
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,8,8,green,0,776,us,0,2.043,22,mww,10,51.2407,100.443,2021-01-11,Asia,Mongolia
"M 6.7 - 146 km WNW of Corral, Chile",6.7,5,5,green,1,776,us,0,1.319,19,mww,10,-39.3264,-74.9067,2020-12-27,,
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7,8,7,orange,0,1527,us,0,1.518,18,mww,21,37.8973,26.7953,2020-10-30,Europe,Greece
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,9,7,yellow,1,1165,us,0,0.23,36,mww,28.37,54.662,-159.675,2020-10-19,North America,United States of America
M 6.9 - central Mid-Atlantic Ridge,6.9,0,3,green,1,732,us,0,11.255,16,mww,10,0.9604,-26.8332,2020-09-18,,
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,6,6,green,0,674,us,0,0.388,49,mww,16,-27.9285,-71.3937,2020-09-01,,
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,6,7,green,1,824,us,0,0.312,69,mww,21,-28.013,-71.1958,2020-09-01,,Chile
M 6.5 - central Mid-Atlantic Ridge,6.5,4,5,green,0,651,us,0,15.394,31,mww,10,0.8696,-29.7046,2020-08-30,,
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,4,3,green,0,749,us,0,2.267,20,mww,624,-6.6704,123.493,2020-08-21,,Indonesia
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,4,4,green,0,735,us,0,1.716,25,mww,26,-4.2791,101.215,2020-08-18,,Indonesia
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,5,4,green,0,716,us,0,1.816,34,mww,22,-4.3724,101.095,2020-08-18,,Indonesia
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,9,8,yellow,1,784,us,0,5.128,14,mww,10,12.0065,124.13,2020-08-18,,Philippines
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,9,7,green,1,1111,us,0,0.621,60,mww,28,55.1079,-158.477,2020-07-22,,
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7,6,7,green,1,820,us,0,1.671,18,mww,73,-7.847,147.755,2020-07-17,,Papua New Guinea
"M 6.6 - 97 km N of Batang, Indonesia",6.6,4,2,green,0,684,us,0,1.458,14,mww,533.76,-5.6368,110.678,2020-07-06,,Indonesia
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,8,8,orange,1,1494,us,0,0.151,30,mww,20,15.9163,-95.9533,2020-06-23,North America,Mexico
M 7.4 - south of the Kermadec Islands,7.4,7,7,green,1,873,us,0,4.035,23,mww,10,-33.2938,-177.838,2020-06-18,,
"M 6.6 - 130 km WNW of Naze, Japan",6.6,5,4,green,1,734,us,0,2.015,18,mww,165,28.9386,128.262,2020-06-13,,
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,6,6,green,1,835,us,0,1.164,21,mww,112,-23.2966,-68.4204,2020-06-03,South America,Chile
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,2020-05-15,North America,United States of America
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,4,6,green,1,671,us,0,3.403,12,mww,107,-12.0662,166.648,2020-05-12,,
M 6.8 - Banda Sea,6.8,4,6,green,0,738,us,0,1.921,16,mww,96,-6.7762,129.785,2020-05-06,,Indonesia
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,7,6,green,0,678,us,0,1.293,19,mww,10,34.1818,25.7101,2020-05-02,,
"M 6.5 - Stanley, Idaho",6.5,8,8,green,0,1410,us,0,0.885,31,mww,12.06,44.4646,-115.118,2020-03-31,North America,United States of America
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,6,5,green,1,879,us,0,4.109,12,mww,57.8,48.9638,157.695,2020-03-25,,
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7,5,6,yellow,1,770,us,0,4.501,25,mww,143,45.6161,148.959,2020-02-13,Asia,Russia
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,9,6,yellow,1,1812,us,0,1.657,26,mww,14.86,19.4193,-78.756,2020-01-28,,
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,8,9,orange,0,1247,us,0,0.87,49,mww,10,38.4312,39.0609,2020-01-24,Asia,Turkey
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,9,7,yellow,1,825,us,0,0.546,39,mww,18,6.6969,125.174,2019-12-15,,Philippines
"M 7.1 - 138km E of Bitung, Indonesia",7.1,6,6,green,1,799,us,0,1.271,11,mww,33,1.6213,126.416,2019-11-14,,Indonesia
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,0,2,green,0,650,us,0,4.765,25,mww,577,-21.9449,-179.511,2019-11-08,,
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,4,4,green,1,673,us,0,5.086,48,mww,10,-18.5747,-175.272,2019-11-04,,
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,9,7,green,1,733,us,0,0.428,19,mww,10,6.9098,125.178,2019-10-31,,Philippines
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,9,7,yellow,1,780,us,0,0.646,24,mww,15,6.7567,125.008,2019-10-29,,Philippines
"M 6.7 - 70 km WSW of Constitución, Chile",6.7,7,6,green,1,844,us,0,1.269,98,mww,11,-35.4758,-73.163,2019-09-29,,
"M 6.5 - 11km S of Kairatu, Indonesia",6.5,7,7,yellow,1,656,us,0,3.909,15,mww,12.26,-3.4528,128.37,2019-09-25,,Indonesia
